state,response,coverage,education,employment_status,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_category
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,Corporate
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Offer3,Agent,Four-Door Car,Medsize,Personal
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Offer1,Call Center,SUV,Medsize,Corporate
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Offer2,Web,Two-Door Car,Medsize,Personal
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Corporate
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Offer1,Agent,Four-Door Car,Medsize,Corporate
Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Corporate
Oregon,No,Extended,College,Employed,F,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Special
California,No,Basic,College,Unemployed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
California,No,Basic,College,Unemployed,F,Suburban,Married,Offer2,Agent,SUV,Medsize,Personal
California,No,Premium,Master,Employed,M,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,Corporate
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Offer2,Branch,SUV,Medsize,Corporate
California,No,Basic,College,Employed,M,Urban,Single,Offer4,Call Center,Four-Door Car,Medsize,Corporate
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Offer2,Branch,Four-Door Car,Medsize,Corporate
Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,Personal
California,No,Basic,College,Medical Leave,M,Suburban,Married,Offer3,Call Center,SUV,Medsize,Personal
Oregon,No,Basic,College,Employed,M,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Offer1,Call Center,Four-Door Car,Small,Corporate
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,Personal
Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Offer4,Call Center,Four-Door Car,Medsize,Personal
Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Corporate
California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Corporate
Oregon,No,Basic,College,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Personal
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
Washington,No,Extended,Master,Disabled,F,Urban,Married,Offer1,Branch,SUV,Medsize,Corporate
Arizona,No,Premium,College,Employed,F,Suburban,Single,Offer1,Call Center,Four-Door Car,Large,Personal
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Offer2,Branch,Four-Door Car,Small,Personal
Arizona,No,Basic,College,Employed,M,Suburban,Married,Offer4,Call Center,Four-Door Car,Small,Personal
Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Offer2,Agent,Luxury SUV,Medsize,Corporate
California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal
Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer1,Agent,Two-Door Car,Small,Corporate
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Offer3,Web,Four-Door Car,Medsize,Corporate
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal
California,No,Premium,Bachelor,Employed,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Offer2,Web,Four-Door Car,Small,Personal
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Offer3,Agent,Two-Door Car,Small,Personal
Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Personal
Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer3,Call Center,Two-Door Car,Medsize,Corporate
Oregon,Yes,Basic,College,Employed,F,Rural,Single,Offer2,Agent,Two-Door Car,Medsize,Corporate
California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer4,Agent,Sports Car,Medsize,Personal
Washington,No,Basic,College,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Special
Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Offer1,Branch,SUV,Medsize,Personal
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Offer3,Call Center,Four-Door Car,Medsize,Personal
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Offer4,Agent,Two-Door Car,Medsize,Personal
California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,Corporate
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal
Oregon,No,Basic,College,Employed,M,Suburban,Married,Offer1,Agent,SUV,Small,Personal
California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Offer1,Web,SUV,Medsize,Corporate
Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Offer4,Branch,Four-Door Car,Medsize,Special
Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Offer4,Agent,Four-Door Car,Medsize,Personal
California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Offer1,Branch,Four-Door Car,Small,Personal
Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Offer3,Call Center,Four-Door Car,Small,Corporate
California,No,Basic,College,Employed,M,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Special
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer1,Call Center,SUV,Small,Personal
Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Offer1,Call Center,SUV,Medsize,Personal
Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Offer1,Call Center,Two-Door Car,Small,Personal
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Offer1,Agent,Two-Door Car,Small,Personal
